Country,Year,Air_pollution_level,CO2_Emissions,CO2_Emissions%,recycling_rate
France,2020,45.94,287.32431788542,10.69,41.7
France,2021,42.6,319.42480736961,11.08,43.8
France,2022,48.02,310.45793477497,11.07,41.8
Germany,2013,48.3,818.27837259184,25.42,63.8
Germany,2014,47.17,779.2231198719,25.33,65.6
Germany,2015,51.32,785.3871812163,25.03,66.7
Germany,2016,46.04,789.71378654619,25.11,67.1
Germany,2017,44.35,774.94817939764,24.45,67.2
Germany,2018,47.03,747.21447650448,24.11,67.1
Germany,2019,45.0,697.0084882655,23.57,66.7
Germany,2020,39.18,642.55204679405,23.9,70.3
Germany,2021,37.45,677.80387300973,23.52,69.3
Germany,2022,38.37,659.50184708527,23.51,69.1
Greece,2013,73.93,73.865857625448,2.29,15.8
Greece,2014,65.06,71.004200707434,2.31,15.4
Greece,2015,74.22,69.447551980085,2.21,15.8
Greece,2016,67.46,68.156034771857,2.17,17.2
Greece,2017,65.44,68.378911234937,2.16,18.9
Greece,2018,56.29,66.582305656799,2.15,20.1
Greece,2019,55.24,61.619060643719,2.08,21.0
Greece,2020,48.61,52.372938123386,1.95,18.1
Greece,2021,61.93,54.198441113067,1.88,17.5
Greece,2022,53.64,54.932297956222,1.96,17.5
Hungary,2013,54.83,44.788041108677,1.39,26.4
Hungary,2014,53.23,44.822256321614,1.46,30.5
Hungary,2015,59.54,47.535032319887,1.51,32.2
Hungary,2016,51.64,48.26644650688,1.53,34.7
Hungary,2017,56.34,51.162887579524,1.61,35.0
Hungary,2018,50.87,50.907818313292,1.64,37.4
Hungary,2019,48.65,50.775517852575,1.72,35.9
Hungary,2020,43.59,49.003671285058,1.82,32.0
Hungary,2021,46.48,50.253479886993,1.74,34.9
Hungary,2022,46.24,47.601211645136,1.7,32.8
Iceland,2013,9.5,3.7113732701486,0.12,29.9
Iceland,2014,7.93,3.4646027143024,0.11,29.7
Iceland,2015,7.58,3.6299210163076,0.12,28.2
Iceland,2016,7.67,3.1795967589976,0.1,33.2
Iceland,2017,7.85,3.3306551974284,0.11,25.8
Iceland,2018,7.24,3.3139311532851,0.11,27.5
Iceland,2019,7.13,3.1747012249095,0.11,26.85
Iceland,2020,6.42,3.0289834553674,0.11,26.2
Iceland,2021,7.58,3.226779019589,0.11,26.4
Iceland,2022,6.41,3.2501151540154,0.12,26.4
Ireland,2013,47.04,36.330979056897,1.13,39.8
Ireland,2014,39.6,36.140342203339,1.17,39.8
Ireland,2015,36.94,37.645010707815,1.2,40.25
Ireland,2016,35.26,39.522146906277,1.26,40.7
Ireland,2017,34.0,38.291365681563,1.21,40.4
Ireland,2018,43.67,37.169674448142,1.2,37.7
Ireland,2019,34.87,35.419167111555,1.2,37.4
Ireland,2020,28.39,33.501684981567,1.25,40.8
Ireland,2021,25.0,35.381730969917,1.23,40.8
Ireland,2022,25.32,34.73362700353,1.24,40.8
Italy,2013,52.26,362.09939520565,11.25,39.4
