Country,Year,Air_pollution_level,CO2_Emissions,CO2_Emissions%,Total_waste,Total_waste%
Portugal,2020,48.37,40.92632334515,1.52,79923051.0,0.83
Romania,2014,41.61,78.979138107851,2.57,723547665.0,7.32
Romania,2016,48.12,78.694598414174,2.5,729426744.0,7.28
Romania,2018,45.27,82.989728937558,2.68,831935695.0,8.02
Romania,2020,44.06,75.70399040271,2.82,584170000.0,6.08
Slovakia,2014,44.11,33.983767376065,1.1,42661878.0,0.43
Slovakia,2016,46.45,35.446904132542,1.13,51244412.0,0.51
Slovakia,2018,39.8,37.210340935852,1.2,59491211.0,0.57
Slovakia,2020,32.48,32.617188753911,1.21,59527723.0,0.62
Slovenia,2014,56.83,14.130181136918,0.46,22795533.0,0.23
Slovenia,2016,57.39,15.025187506529,0.48,25654611.0,0.26
Slovenia,2018,56.99,15.343323731011,0.49,36797953.0,0.35
Slovenia,2020,36.2,13.421296532745,0.5,33344563.0,0.35
Spain,2014,50.12,258.01546865043,8.39,508825760.0,5.15
Spain,2016,47.03,266.53110569131,8.47,584681075.0,5.83
Spain,2018,46.66,275.13006053445,8.88,627190740.0,6.04
Spain,2020,42.48,218.74421833382,8.14,492690834.0,5.13
Sweden,2014,36.25,42.776473476285,1.39,688530273.0,6.96
Sweden,2016,27.87,42.629870520558,1.36,591007405.0,5.9
Sweden,2018,30.79,39.428295326808,1.27,579978367.0,5.59
Sweden,2020,24.71,37.793958693261,1.41,630386869.0,6.56
